C_in,C_pos,kernel_in,kernel_pos,n,accuracy_in,accuracy_pos
0.1,1.0,poly,rbf,7,0.8475177304964538,0.4883720930232558
0.1,1.0,poly,rbf,12,0.7411347517730497,0.4931506849315068
0.1,1.0,poly,rbf,17,0.5354609929078015,0.4122137404580153
0.1,1.0,poly,sigmoid,7,0.8475177304964538,0.5116279069767442
0.1,1.0,poly,sigmoid,12,0.6843971631205674,0.39325842696629215
0.1,1.0,poly,sigmoid,17,0.5531914893617021,0.38095238095238093
0.1,1.0,poly,poly,7,0.8652482269503546,0.2894736842105263
0.1,1.0,poly,poly,12,0.7021276595744681,0.27380952380952384
0.1,1.0,poly,poly,17,0.45390070921985815,0.15584415584415584
0.1,2.0,linear,linear,7,0.8581560283687943,0.45
0.1,2.0,linear,linear,12,0.7624113475177305,0.379746835443038
0.1,2.0,linear,linear,17,0.6453900709219859,0.38848920863309355
0.1,2.0,linear,rbf,7,0.8404255319148937,0.4666666666666667
0.1,2.0,linear,rbf,12,0.7872340425531915,0.4864864864864865
0.1,2.0,linear,rbf,17,0.7695035460992907,0.373134328358209
0.1,2.0,linear,sigmoid,7,0.8581560283687943,0.425
0.1,2.0,linear,sigmoid,12,0.75177304964539,0.2875
0.1,2.0,linear,sigmoid,17,0.7056737588652482,0.3858267716535433
0.1,2.0,linear,poly,7,0.875886524822695,0.4
0.1,2.0,linear,poly,12,0.75177304964539,0.13333333333333333
0.1,2.0,linear,poly,17,0.74822695035461,0.2536231884057971
0.1,2.0,rbf,linear,7,0.8475177304964538,0.37209302325581395
0.1,2.0,rbf,linear,12,0.7056737588652482,0.3855421686746988
0.1,2.0,rbf,linear,17,0.5141843971631206,0.28695652173913044
0.1,2.0,rbf,rbf,7,0.851063829787234,0.5
0.1,2.0,rbf,rbf,12,0.7163120567375887,0.4375
0.1,2.0,rbf,rbf,17,0.5141843971631206,0.40145985401459855
0.1,2.0,rbf,sigmoid,7,0.851063829787234,0.47619047619047616
0.1,2.0,rbf,sigmoid,12,0.7092198581560284,0.35365853658536583
0.1,2.0,rbf,sigmoid,17,0.549645390070922,0.4251968503937008
0.1,2.0,rbf,poly,7,0.8262411347517731,0.3877551020408163
0.1,2.0,rbf,poly,12,0.7269503546099291,0.2727272727272727
0.1,2.0,rbf,poly,17,0.4858156028368794,0.1793103448275862
0.1,2.0,sigmoid,linear,7,0.8829787234042553,0.6666666666666666
0.1,2.0,sigmoid,linear,12,0.6950354609929078,0.27906976744186046
0.1,2.0,sigmoid,linear,17,0.7269503546099291,0.3178294573643411
0.1,2.0,sigmoid,rbf,7,0.8723404255319149,0.4166666666666667
0.1,2.0,sigmoid,rbf,12,0.7163120567375887,0.4
0.1,2.0,sigmoid,rbf,17,0.6985815602836879,0.2962962962962963
0.1,2.0,sigmoid,sigmoid,7,0.8723404255319149,0.4722222222222222
0.1,2.0,sigmoid,sigmoid,12,0.7198581560283688,0.45569620253164556
0.1,2.0,sigmoid,sigmoid,17,0.5886524822695035,0.34285714285714286
0.1,2.0,sigmoid,poly,7,0.8687943262411347,0.2702702702702703
0.1,2.0,sigmoid,poly,12,0.7056737588652482,0.25301204819277107
0.1,2.0,sigmoid,poly,17,0.6666666666666666,0.21739130434782608
0.1,2.0,poly,linear,7,0.8617021276595744,0.41025641025641024
0.1,2.0,poly,linear,12,0.6879432624113475,0.3522727272727273
0.1,2.0,poly,linear,17,0.5815602836879432,0.3644067796610169
0.1,2.0,poly,rbf,7,0.8333333333333334,0.44680851063829785
0.1,2.0,poly,rbf,12,0.7056737588652482,0.46987951807228917
0.1,2.0,poly,rbf,17,0.5460992907801419,0.4296875
0.1,2.0,poly,sigmoid,7,0.8297872340425532,0.4791666666666667
0.1,2.0,poly,sigmoid,12,0.7198581560283688,0.4050632911392405
0.1,2.0,poly,sigmoid,17,0.5177304964539007,0.36764705882352944
0.1,2.0,poly,poly,7,0.8404255319148937,0.4444444444444444
0.1,2.0,poly,poly,12,0.7553191489361702,0.2318840579710145
0.1,2.0,poly,poly,17,0.5425531914893617,0.16279069767441862
1.0,0.1,linear,linear,7,0.8297872340425532,0.43478260869565216
1.0,0.1,linear,linear,12,0.6914893617021277,0.3595505617977528
1.0,0.1,linear,linear,17,0.6950354609929078,0.43609022556390975
1.0,0.1,linear,rbf,7,0.8439716312056738,0.18181818181818182
1.0,0.1,linear,rbf,12,0.7588652482269503,0.07407407407407407
1.0,0.1,linear,rbf,17,0.6808510638297872,0.08661417322834646
1.0,0.1,linear,sigmoid,7,0.8723404255319149,0.1282051282051282
1.0,0.1,linear,sigmoid,12,0.6773049645390071,0.08860759493670886
1.0,0.1,linear,sigmoid,17,0.6631205673758865,0.023622047244094488
1.0,0.1,linear,poly,7,0.8652482269503546,0.21621621621621623
1.0,0.1,linear,poly,12,0.7092198581560284,0.0625
1.0,0.1,linear,poly,17,0.7198581560283688,0.06611570247933884
1.0,0.1,rbf,linear,7,0.8652482269503546,0.5263157894736842
1.0,0.1,rbf,linear,12,0.776595744680851,0.25333333333333335
1.0,0.1,rbf,linear,17,0.7411347517730497,0.44881889763779526
1.0,0.1,rbf,rbf,7,0.8333333333333334,0.1702127659574468
1.0,0.1,rbf,rbf,12,0.7624113475177305,0.08974358974358974
1.0,0.1,rbf,rbf,17,0.7127659574468085,0.0625
1.0,0.1,rbf,sigmoid,7,0.8439716312056738,0.1590909090909091
1.0,0.1,rbf,sigmoid,12,0.7092198581560284,0.21428571428571427
1.0,0.1,rbf,sigmoid,17,0.7411347517730497,0.0948905109489051
1.0,0.1,rbf,poly,7,0.8439716312056738,0.20454545454545456
1.0,0.1,rbf,poly,12,0.75177304964539,0.10256410256410256
1.0,0.1,rbf,poly,17,0.7163120567375887,0.02564102564102564
1.0,0.1,sigmoid,linear,7,0.8829787234042553,0.42424242424242425
1.0,0.1,sigmoid,linear,12,0.7659574468085106,0.4225352112676056
1.0,0.1,sigmoid,linear,17,0.6914893617021277,0.36885245901639346
1.0,0.1,sigmoid,rbf,7,0.8546099290780141,0.21951219512195122
1.0,0.1,sigmoid,rbf,12,0.7375886524822695,0.10752688172043011
1.0,0.1,sigmoid,rbf,17,0.7375886524822695,0.06349206349206349
1.0,0.1,sigmoid,sigmoid,7,0.8333333333333334,0.10638297872340426
1.0,0.1,sigmoid,sigmoid,12,0.7340425531914894,0.1111111111111111
1.0,0.1,sigmoid,sigmoid,17,0.7092198581560284,0.06206896551724138
1.0,0.1,sigmoid,poly,7,0.8865248226950354,0.125
1.0,0.1,sigmoid,poly,12,0.7340425531914894,0.024390243902439025
1.0,0.1,sigmoid,poly,17,0.723404255319149,0.06818181818181818
1.0,0.1,poly,linear,7,0.8333333333333334,0.5208333333333334
1.0,0.1,poly,linear,12,0.723404255319149,0.35802469135802467
1.0,0.1,poly,linear,17,0.6843971631205674,0.4316546762589928
1.0,0.1,poly,rbf,7,0.8723404255319149,0.2222222222222222
1.0,0.1,poly,rbf,12,0.6950354609929078,0.07526881720430108
1.0,0.1,poly,rbf,17,0.7340425531914894,0.07874015748031496
1.0,0.1,poly,sigmoid,7,0.875886524822695,0.05714285714285714
1.0,0.1,poly,sigmoid,12,0.6879432624113475,0.04395604395604396
1.0,0.1,poly,sigmoid,17,0.7304964539007093,0.12396694214876033
1.0,0.1,poly,poly,7,0.8191489361702128,0.17647058823529413
1.0,0.1,poly,poly,12,0.7304964539007093,0.09090909090909091
1.0,0.1,poly,poly,17,0.7446808510638298,0.02142857142857143
1.0,1.0,linear,linear,7,0.8546099290780141,0.3902439024390244
1.0,1.0,linear,linear,12,0.6950354609929078,0.39285714285714285
1.0,1.0,linear,linear,17,0.6666666666666666,0.3798449612403101
1.0,1.0,linear,rbf,7,0.8191489361702128,0.5625
1.0,1.0,linear,rbf,12,0.7659574468085106,0.4177215189873418
1.0,1.0,linear,rbf,17,0.7021276595744681,0.296875
1.0,1.0,linear,sigmoid,7,0.8865248226950354,0.41935483870967744
1.0,1.0,linear,sigmoid,12,0.7304964539007093,0.4044943820224719
1.0,1.0,linear,sigmoid,17,0.6453900709219859,0.3185840707964602
1.0,1.0,linear,poly,7,0.8333333333333334,0.3023255813953488
1.0,1.0,linear,poly,12,0.7411347517730497,0.22784810126582278
1.0,1.0,linear,poly,17,0.7198581560283688,0.09352517985611511
1.0,1.0,rbf,linear,7,0.8014184397163121,0.32727272727272727
1.0,1.0,rbf,linear,12,0.7624113475177305,0.4470588235294118
1.0,1.0,rbf,linear,17,0.6843971631205674,0.30612244897959184
1.0,1.0,rbf,rbf,7,0.8404255319148937,0.4666666666666667
1.0,1.0,rbf,rbf,12,0.7304964539007093,0.3655913978494624
1.0,1.0,rbf,rbf,17,0.74822695035461,0.4016393442622951
1.0,1.0,rbf,sigmoid,7,0.875886524822695,0.4857142857142857
1.0,1.0,rbf,sigmoid,12,0.7375886524822695,0.37209302325581395
1.0,1.0,rbf,sigmoid,17,0.75177304964539,0.3851851851851852
1.0,1.0,rbf,poly,7,0.851063829787234,0.46511627906976744
1.0,1.0,rbf,poly,12,0.7836879432624113,0.2676056338028169
1.0,1.0,rbf,poly,17,0.7198581560283688,0.17557251908396945
1.0,1.0,sigmoid,linear,7,0.8617021276595744,0.41025641025641024
1.0,1.0,sigmoid,linear,12,0.7163120567375887,0.37894736842105264
1.0,1.0,sigmoid,linear,17,0.6879432624113475,0.39849624060150374
1.0,1.0,sigmoid,rbf,7,0.8368794326241135,0.45652173913043476
1.0,1.0,sigmoid,rbf,12,0.7730496453900709,0.3
1.0,1.0,sigmoid,rbf,17,0.7340425531914894,0.45528455284552843
1.0,1.0,sigmoid,sigmoid,7,0.851063829787234,0.5476190476190477
1.0,1.0,sigmoid,sigmoid,12,0.7588652482269503,0.46511627906976744
1.0,1.0,sigmoid,sigmoid,17,0.7340425531914894,0.35294117647058826
1.0,1.0,sigmoid,poly,7,0.8368794326241135,0.32608695652173914
1.0,1.0,sigmoid,poly,12,0.7659574468085106,0.30666666666666664
1.0,1.0,sigmoid,poly,17,0.7056737588652482,0.128
1.0,1.0,poly,linear,7,0.8581560283687943,0.4146341463414634
1.0,1.0,poly,linear,12,0.7269503546099291,0.35064935064935066
1.0,1.0,poly,linear,17,0.7304964539007093,0.36065573770491804
1.0,1.0,poly,rbf,7,0.8617021276595744,0.575
1.0,1.0,poly,rbf,12,0.7092198581560284,0.42168674698795183
1.0,1.0,poly,rbf,17,0.723404255319149,0.3709677419354839
1.0,1.0,poly,sigmoid,7,0.8297872340425532,0.40425531914893614
1.0,1.0,poly,sigmoid,12,0.75177304964539,0.39436619718309857
1.0,1.0,poly,sigmoid,17,0.75177304964539,0.36153846153846153
1.0,1.0,poly,poly,7,0.8652482269503546,0.1794871794871795
1.0,1.0,poly,poly,12,0.7411347517730497,0.3
1.0,1.0,poly,poly,17,0.7127659574468085,0.24444444444444444
1.0,2.0,linear,linear,7,0.8652482269503546,0.5365853658536586
1.0,2.0,linear,linear,12,0.7163120567375887,0.38271604938271603
1.0,2.0,linear,linear,17,0.6950354609929078,0.4083333333333333
1.0,2.0,linear,rbf,7,0.8404255319148937,0.5098039215686274
1.0,2.0,linear,rbf,12,0.7588652482269503,0.5342465753424658
1.0,2.0,linear,rbf,17,0.7021276595744681,0.44029850746268656
1.0,2.0,linear,sigmoid,7,0.8333333333333334,0.5777777777777777
1.0,2.0,linear,sigmoid,12,0.7269503546099291,0.4090909090909091
1.0,2.0,linear,sigmoid,17,0.6418439716312057,0.43548387096774194
1.0,2.0,linear,poly,7,0.8581560283687943,0.2857142857142857
1.0,2.0,linear,poly,12,0.7446808510638298,0.2463768115942029
1.0,2.0,linear,poly,17,0.6843971631205674,0.1450381679389313
1.0,2.0,rbf,linear,7,0.8546099290780141,0.47619047619047616
1.0,2.0,rbf,linear,12,0.7695035460992907,0.46987951807228917
1.0,2.0,rbf,linear,17,0.6808510638297872,0.328
1.0,2.0,rbf,rbf,7,0.8652482269503546,0.5263157894736842
1.0,2.0,rbf,rbf,12,0.776595744680851,0.3142857142857143
1.0,2.0,rbf,rbf,17,0.7304964539007093,0.41911764705882354
1.0,2.0,rbf,sigmoid,7,0.8333333333333334,0.44680851063829785
1.0,2.0,rbf,sigmoid,12,0.7695035460992907,0.35135135135135137
1.0,2.0,rbf,sigmoid,17,0.7092198581560284,0.4148148148148148
1.0,2.0,rbf,poly,7,0.8546099290780141,0.2682926829268293
1.0,2.0,rbf,poly,12,0.7269503546099291,0.3181818181818182
1.0,2.0,rbf,poly,17,0.6666666666666666,0.29577464788732394
1.0,2.0,sigmoid,linear,7,0.8475177304964538,0.4418604651162791
1.0,2.0,sigmoid,linear,12,0.7411347517730497,0.4146341463414634
1.0,2.0,sigmoid,linear,17,0.6985815602836879,0.3475177304964539
1.0,2.0,sigmoid,rbf,7,0.8900709219858156,0.41935483870967744
1.0,2.0,sigmoid,rbf,12,0.7624113475177305,0.4268292682926829
1.0,2.0,sigmoid,rbf,17,0.7056737588652482,0.40298507462686567
1.0,2.0,sigmoid,sigmoid,7,0.8581560283687943,0.55
1.0,2.0,sigmoid,sigmoid,12,0.8156028368794326,0.3157894736842105
1.0,2.0,sigmoid,sigmoid,17,0.7163120567375887,0.37404580152671757
1.0,2.0,sigmoid,poly,7,0.8581560283687943,0.425
1.0,2.0,sigmoid,poly,12,0.7021276595744681,0.13186813186813187
1.0,2.0,sigmoid,poly,17,0.7304964539007093,0.1597222222222222
1.0,2.0,poly,linear,7,0.8439716312056738,0.4090909090909091
1.0,2.0,poly,linear,12,0.6914893617021277,0.43478260869565216
1.0,2.0,poly,linear,17,0.7269503546099291,0.373134328358209
1.0,2.0,poly,rbf,7,0.8333333333333334,0.3333333333333333
1.0,2.0,poly,rbf,12,0.7411347517730497,0.47435897435897434
1.0,2.0,poly,rbf,17,0.6560283687943262,0.4420289855072464
1.0,2.0,poly,sigmoid,7,0.8439716312056738,0.4418604651162791
1.0,2.0,poly,sigmoid,12,0.6950354609929078,0.42696629213483145
1.0,2.0,poly,sigmoid,17,0.7340425531914894,0.38571428571428573
1.0,2.0,poly,poly,7,0.851063829787234,0.36363636363636365
1.0,2.0,poly,poly,12,0.7127659574468085,0.2222222222222222
1.0,2.0,poly,poly,17,0.74822695035461,0.2265625
2.0,0.1,linear,linear,7,0.8262411347517731,0.37209302325581395
2.0,0.1,linear,linear,12,0.6950354609929078,0.4024390243902439
2.0,0.1,linear,linear,17,0.7340425531914894,0.3697478991596639
2.0,0.1,linear,rbf,7,0.8226950354609929,0.07692307692307693
2.0,0.1,linear,rbf,12,0.6879432624113475,0.06756756756756757
2.0,0.1,linear,rbf,17,0.7304964539007093,0.12195121951219512
2.0,0.1,linear,sigmoid,7,0.8368794326241135,0.15254237288135594
2.0,0.1,linear,sigmoid,12,0.7127659574468085,0.09876543209876543
2.0,0.1,linear,sigmoid,17,0.6773049645390071,0.08661417322834646
2.0,0.1,linear,poly,7,0.8262411347517731,0.16666666666666666
2.0,0.1,linear,poly,12,0.7163120567375887,0.03571428571428571
2.0,0.1,linear,poly,17,0.6453900709219859,0.05185185185185185
2.0,0.1,rbf,linear,7,0.851063829787234,0.44680851063829785
2.0,0.1,rbf,linear,12,0.723404255319149,0.43529411764705883
2.0,0.1,rbf,linear,17,0.7411347517730497,0.34146341463414637
2.0,0.1,rbf,rbf,7,0.8368794326241135,0.16326530612244897
2.0,0.1,rbf,rbf,12,0.776595744680851,0.05194805194805195
2.0,0.1,rbf,rbf,17,0.7056737588652482,0.049586776859504134
2.0,0.1,rbf,sigmoid,7,0.8439716312056738,0.16666666666666666
2.0,0.1,rbf,sigmoid,12,0.7588652482269503,0.09333333333333334
2.0,0.1,rbf,sigmoid,17,0.6950354609929078,0.02857142857142857
2.0,0.1,rbf,poly,7,0.8617021276595744,0.1388888888888889
2.0,0.1,rbf,poly,12,0.7021276595744681,0.07954545454545454
2.0,0.1,rbf,poly,17,0.7411347517730497,0.078125
2.0,0.1,sigmoid,linear,7,0.8226950354609929,0.5217391304347826
2.0,0.1,sigmoid,linear,12,0.7446808510638298,0.43037974683544306
2.0,0.1,sigmoid,linear,17,0.7056737588652482,0.38345864661654133
2.0,0.1,sigmoid,rbf,7,0.8404255319148937,0.2391304347826087
2.0,0.1,sigmoid,rbf,12,0.7092198581560284,0.0989010989010989
2.0,0.1,sigmoid,rbf,17,0.7304964539007093,0.06451612903225806
2.0,0.1,sigmoid,sigmoid,7,0.8546099290780141,0.125
2.0,0.1,sigmoid,sigmoid,12,0.7375886524822695,0.0875
2.0,0.1,sigmoid,sigmoid,17,0.7198581560283688,0.06569343065693431
2.0,0.1,sigmoid,poly,7,0.8617021276595744,0.07692307692307693
2.0,0.1,sigmoid,poly,12,0.7340425531914894,0.054945054945054944
2.0,0.1,sigmoid,poly,17,0.6631205673758865,0.06557377049180328
2.0,0.1,poly,linear,7,0.851063829787234,0.5238095238095238
2.0,0.1,poly,linear,12,0.6985815602836879,0.3522727272727273
2.0,0.1,poly,linear,17,0.7127659574468085,0.32592592592592595
2.0,0.1,poly,rbf,7,0.8687943262411347,0.15789473684210525
2.0,0.1,poly,rbf,12,0.7021276595744681,0.0898876404494382
2.0,0.1,poly,rbf,17,0.6950354609929078,0.051470588235294115
2.0,0.1,poly,sigmoid,7,0.8333333333333334,0.08333333333333333
2.0,0.1,poly,sigmoid,12,0.6631205673758865,0.07368421052631578
2.0,0.1,poly,sigmoid,17,0.723404255319149,0.024193548387096774
2.0,0.1,poly,poly,7,0.851063829787234,0.125
2.0,0.1,poly,poly,12,0.7659574468085106,0.06578947368421052
